Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
19730,Valid,Others,,,,,,,,,,,,,
19732,Valid,Others,,,,,,,,,,,,,
19739,Valid,Others,,,,,,,,,,,,,
19740,Valid,Others,,,,,,,,,,,,,
19743,Valid,Others,,,,,,,,,,,,,
19747,Valid,Others,,,,,,,,,,,,,
19758,Valid,Others,,,,,,,,,,,,,
19765,Valid,Others,,,,,,,,,,,,,
19766,Valid,Others,,,,,,,,,,,,,
19767,Valid,Others,,,,,,,,,,,,,
19774,Valid,Others,,,,,,,,,,,,,
19789,Valid,Others,,,,,,,,,,,,,
19792,Valid,Others,,,,,,,,,,,,,
19807,Valid,Others,,,,,,,,,,,,,
19809,Valid,Update,"December 17, 2003  ",,,,,,,,,,,,
19812,Valid,Others,,,,,,,,,,,,,
19813,Valid,Others,,,,,,,,,,,,,
19814,Valid,Update,"December 17, 2003  ",,,,,,,,,,,,
19817,Valid,Others,,,,,,,,,,,,,
19825,Valid,Others,,,,,,,,,,,,,
19833,Valid,Others,,,,,,,,,,,,,
19847,Valid,Update,"December 22, 2003  ",,,,,,,,,,,,
19850,Valid,Others,,,,,,,,,,,,,
19860,Valid,Update,"December 23, 2003  ",,,,,,,,,,,,
19861,Valid,Update,"December 23, 2003  ",,,,,,,,,,,,
19865,Valid,Update,"December 23, 2003  ",,,,,,,,,,,,
19878,Valid,Others,,,,,,,,,,,,,
19884,Valid,Update,"December 25, 2003  ",,,,,,,,,,,,
19887,Valid,Others,,,,,,,,,,,,,
19890,Valid,Others,,,,,,,,,,,,,
19905,Valid,Others,,,,,,,,,,,,,
19909,Valid,Update,"December 29, 2003  ",,,,,,,,,,,,
19925,Valid,Update,"January 08, 2004  ",,,,,,,,,,,,
19929,Valid,Update,"January 08, 2004  ",,,,,,,,,,,,
19930,Valid,Update,"January 08, 2004  ",,,,,,,,,,,,
19938,Valid,Others,,,,,,,,,,,,,
19939,Valid,Others,,,,,,,,,,,,,
19950,Valid,Others,,,,,,,,,,,,,
19957,Valid,Others,,,,,,,,,,,,,
19963,Valid,Others,,,,,,,,,,,,,
19968,Valid,Others,,,,,,,,,,,,,
19969,Valid,Others,,,,,,,,,,,,,
19972,Valid,Others,,,,,,,,,,,,,
19981,Valid,Others,,,,,,,,,,,,,
19988,Valid,Others,,,,,,,,,,,,,
20001,Valid,Others,,,,,,,,,,,,,
20015,Valid,Others,,,,,,,,,,,,,
20018,Valid,Others,,,,,,,,,,,,,
20020,Valid,Others,,,,,,,,,,,,,
20035,Valid,Others,,,,,,,,,,,,,
20039,Valid,Others,,,,,,,,,,,,,
20041,Valid,Others,,,,,,,,,,,,,
20046,Valid,Others,,,,,,,,,,,,,
20049,Valid,Others,,,,,,,,,,,,,
20055,Valid,Others,,,,,,,,,,,,,
20060,Valid,Others,,,,,,,,,,,,,
20064,Valid,Others,,,,,,,,,,,,,
20083,Valid,Others,,,,,,,,,,,,,
20087,Valid,Others,,,,,,,,,,,,,
20088,Valid,Others,,,,,,,,,,,,,
20097,Valid,Update,"January 29, 2004  ",,,,,,,,,,,,
20098,Valid,Others,,,,,,,,,,,,,
20103,Valid,Others,,,,,,,,,,,,,
20111,Valid,Others,,,,,,,,,,,,,
20120,Valid,Others,,,,,,,,,,,,,
20138,Valid,Update,"February 03, 2004  ",,,,,,,,,,,,
20144,Valid,Others,,,,,,,,,,,,,
20156,Valid,Others,,,,,,,,,,,,,
20160,Valid,Others,,,,,,,,,,,,,
20168,Valid,Others,,,,,,,,,,,,,
20198,Valid,Others,,,,,,,,,,,,,
20200,Valid,Others,,,,,,,,,,,,,
20208,Valid,Others,,,,,,,,,,,,,
20214,Valid,Others,,,,,,,,,,,,,
20228,Valid,Others,,,,,,,,,,,,,
20273,Valid,Others,,,,,,,,,,,,,
20278,Valid,Others,,,,,,,,,,,,,
20282,Valid,Others,,,,,,,,,,,,,
20291,Valid,Others,,,,,,,,,,,,,
20309,Valid,Others,,,,,,,,,,,,,
20325,Valid,Others,,,,,,,,,,,,,
20332,Valid,Others,,,,,,,,,,,,,
20339,Valid,Update,"February 26, 2004  ",,,,,,,,,,,,
20342,Valid,Others,,,,,,,,,,,,,
20350,Valid,Update,"February 27, 2004  ",,,,,,,,,,,,
20356,Valid,Others,,,,,,,,,,,,,
20361,Valid,Update,"March 01, 2004  ",,,,,,,,,,,,
20362,Valid,Others,,,,,,,,,,,,,
20373,Valid,Others,,,,,,,,,,,,,
20377,Valid,Others,,,,,,,,,,,,,
20384,Valid,Others,,,,,,,,,,,,,
20385,Valid,Update,"March 03, 2004  ",,,,,,,,,,,,
20386,Valid,Others,,,,,,,,,,,,,
20398,Valid,Others,,,,,,,,,,,,,
20407,Valid,Others,,,,,,,,,,,,,
20413,Valid,Others,,,,,,,,,,,,,
20427,Valid,Others,,,,,,,,,,,,,
20428,Valid,Others,,,,,,,,,,,,,
20434,Valid,Others,,,,,,,,,,,,,
20436,Valid,Others,,,,,,,,,,,,,
20450,Valid,Others,,,,,,,,,,,,,
20453,Valid,Others,,,,,,,,,,,,,
20454,Valid,Others,,,,,,,,,,,,,
20468,Valid,Others,,,,,,,,,,,,,
20478,Valid,Others,,,,,,,,,,,,,
20483,Valid,Others,,,,,,,,,,,,,
20487,Valid,Others,,,,,,,,,,,,,
20488,Valid,Update,"March 16, 2004  ",,,,,,,,,,,,
20498,Valid,Others,,,,,,,,,,,,,
20499,Valid,Others,,,,,,,,,,,,,
20500,Valid,Others,,,,,,,,,,,,,
20509,Valid,Others,,,,,,,,,,,,,
20510,Valid,Others,,,,,,,,,,,,,
20514,Valid,Update,"March 18, 2004  ",,,,,,,,,,,,
20517,Valid,Others,,,,,,,,,,,,,
20521,Valid,Others,,,,,,,,,,,,,
20530,Valid,Others,,,,,,,,,,,,,
20534,Valid,Others,,,,,,,,,,,,,
20538,Valid,Update,"March 22, 2004  ",,,,,,,,,,,,
20545,Valid,Others,,,,,,,,,,,,,
20571,Valid,Others,,,,,,,,,,,,,
20581,Valid,Others,,,,,,,,,,,,,
20582,Valid,Others,,,,,,,,,,,,,
20585,Valid,Others,,,,,,,,,,,,,
20598,Valid,Update,"March 25, 2004  ",,,,,,,,,,,,
20605,Valid,Others,,,,,,,,,,,,,
20614,Valid,Others,,,,,,,,,,,,,
20628,Valid,Others,,,,,,,,,,,,,
20640,Valid,Others,,,,,,,,,,,,,
20647,Valid,Others,,,,,,,,,,,,,
25718,Valid,Others,,,,,,,,,,,,,
25721,Valid,Others,,,,,,,,,,,,,
25723,Valid,Update,"April 01, 2004  ",,,,,,,,,,,,
25765,Valid,Others,,,,,,,,,,,,,
25780,Valid,Others,,,,,,,,,,,,,
25782,Valid,Others,,,,,,,,,,,,,
25836,Valid,Others,,,,,,,,,,,,,
25851,Valid,Others,,,,,,,,,,,,,
25879,Valid,Others,,,,,,,,,,,,,
25951,Valid,Update,"April 06, 2004  ",,,,,,,,,,,,
25968,Valid,Others,,,,,,,,,,,,,
25971,Valid,Others,,,,,,,,,,,,,
26002,Valid,Others,,,,,,,,,,,,,
26013,Valid,Update,"April 07, 2004  ",,,,,,,,,,,,
26024,Valid,Others,,,,,,,,,,,,,
26083,Valid,Others,,,,,,,,,,,,,
26090,Valid,Others,,,,,,,,,,,,,
26127,Valid,Others,,,,,,,,,,,,,
26129,Valid,Others,,,,,,,,,,,,,
26141,Valid,Others,,,,,,,,,,,,,
26168,Valid,Others,,,,,,,,,,,,,
26173,Valid,Others,,,,,,,,,,,,,
26202,Valid,Others,,,,,,,,,,,,,
26203,Valid,Others,,,,,,,,,,,,,
26205,Valid,Update,"April 12, 2004  ",,,,,,,,,,,,
26207,Valid,Update,"April 12, 2004  ",,,,,,,,,,,,
26227,Valid,Others,,,,,,,,,,,,,
26230,Valid,Others,,,,,,,,,,,,,
26251,Valid,Others,,,,,,,,,,,,,
26252,Valid,Update,"April 13, 2004  ",,,,,,,,,,,,
26270,Valid,Others,,,,,,,,,,,,,
